ホーム　／　アウェイ	鹿島アントラーズ	浦和レッズ	柏レイソル	ＦＣ東京	東京ヴェルディ	ＦＣ町田ゼルビア	川崎フロンターレ	横浜F・マリノス	横浜ＦＣ	湘南ベルマーレ	アルビレックス新潟	清水エスパルス	名古屋グランパス	京都サンガＦ.Ｃ.	ガンバ大阪	セレッソ大阪	ヴィッセル神戸	ファジアーノ岡山	サンフレッチェ広島	アビスパ福岡
鹿島アントラーズ	0	89.9	62.1	107.1	107.1	119.2	102.5	107.9	115.2	128.3	256.5	233.5	351.2	456.7	481.5	489.6	515.6	627.3	766.3	977.4
浦和レッズ	89.9	0	28.5	25.3	25.3	40.9	32	39.8	51.8	62.5	234.1	151.7	261.9	367.1	392.2	400.7	426.4	537.6	676.6	887.8
柏レイソル	62.1	28.5	0	45.7	45.7	59.3	43.9	50.9	61.1	74	243.1	174	289.1	394.6	419.4	427.5	453.5	565.2	704.3	915.3
ＦＣ東京	107.1	25.3	45.7	0	0	15.6	13.3	18.6	29.8	38.4	253.6	128.6	244.9	350.8	375	382.8	409.1	521.5	660.7	871.2
東京ヴェルディ	107.1	25.3	45.7	0	0	15.6	13.3	18.6	29.8	38.4	253.6	128.6	244.9	350.8	375	382.8	409.1	521.5	660.7	871.2
ＦＣ町田ゼルビア	119.2	40.9	59.3	15.6	15.6	0	17.1	15	20.5	24.9	266.1	114.8	235.1	341.3	364.9	372.1	398.8	511.8	651.1	861.1
川崎フロンターレ	102.5	32	43.9	13.3	13.3	17.1	0	7.8	19.8	31.3	264.7	131.1	252.2	358.3	381.9	389.2	415.9	528.9	668.1	878.2
横浜F・マリノス	107.9	39.8	50.9	18.6	18.6	15	7.8	0	12.1	23.6	271.8	125.7	249	355.3	378.5	385.4	412.3	525.7	664.9	874.7
横浜ＦＣ	115.2	51.8	61.1	29.8	29.8	20.5	19.8	12.1	0	13.2	283.4	119.7	246.6	352.8	375.5	381.9	409.1	523	662.2	871.4
湘南ベルマーレ	128.3	62.5	74	38.4	38.4	24.9	31.3	23.6	13.2	0	291	107.5	236.5	342.6	364.7	370.8	398.2	512.5	651.6	860.4
アルビレックス新潟	256.5	234.1	243.1	253.6	253.6	266.1	264.7	271.8	283.4	291	0	331	360.2	436.1	466.2	481.7	497.3	583.6	710.2	919.8
清水エスパルス	233.5	151.7	174	128.6	128.6	114.8	131.1	125.7	119.7	107.5	331	0	137.1	240.8	260.7	265.4	293.6	408.7	547.4	754.6
名古屋グランパス	351.2	261.9	289.1	244.9	244.9	235.1	252.2	249	246.6	236.5	360.2	137.1	0	106.3	130.3	139.3	164.5	276.7	416	626.3
京都サンガＦ.Ｃ.	456.7	367.1	394.6	350.8	350.8	341.3	358.3	355.3	352.8	342.6	436.1	240.8	106.3	0	30.2	47	62.5	170.6	309.8	520.8
ガンバ大阪	481.5	392.2	419.4	375	375	364.9	381.9	378.5	375.5	364.7	466.2	260.7	130.3	30.2	0	18.4	34.3	148	286.9	496.2
セレッソ大阪	489.6	400.7	427.5	382.8	382.8	372.1	389.2	385.4	381.9	370.8	481.7	265.4	139.3	47	18.4	0	29.5	144.7	282.3	489.5
ヴィッセル神戸	515.6	426.4	453.5	409.1	409.1	398.8	415.9	412.3	409.1	398.2	497.3	293.6	164.5	62.5	34.3	29.5	0	115.6	253.8	462.4
ファジアーノ岡山	627.3	537.6	565.2	521.5	521.5	511.8	528.9	525.7	523	512.5	583.6	408.7	276.7	170.6	148	144.7	115.6	0	139.2	350.6
サンフレッチェ広島	766.3	676.6	704.3	660.7	660.7	651.1	668.1	664.9	662.2	651.6	710.2	547.4	416	309.8	286.9	282.3	253.8	139.2	0	212.8
アビスパ福岡	977.4	887.8	915.3	871.2	871.2	861.1	878.2	874.7	871.4	860.4	919.8	754.6	626.3	520.8	496.2	489.5	462.4	350.6	212.8	0